dep_code,dep_nom,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
87,HAUTE-VIENNE,12 465,11 187,10 586,10 007,7 481,7 228,7 520,8 046,7 680,7 378,6 864,7 198,6 825,6 675,6 166,6 192,6 068,6 068,6 249,6 312,7 424,7 595,7 302,7 302,6 443,6 295,5 458,5 458,5 458,5 458,5 203,5 177,5 177,5 177,5 572,5 572,5 831,4 714,4 714,4 561,4 561,4 853,6 868,6 868,6 868,6 868,6 868,6 868,6 868,6 831,6 868,7 056,7 056,7 294,7 294,7 294,7 294,7 294,7 294
88,VOSGES,24 744,22 387,21 830,19 252,19 674,19 304,18 763,19 195,19 090,19 160,17 932,17 467,16 660,15 103,14 049,14 270,14 287,13 603,13 484,13 545,13 332,12 296,10 609,9 728,8 069,8 246,6 915,6 775,6 775,6 275,6 475,6 395,6 269,6 269,6 271,6 271,6 271,6 271,5 982,6 031,6 031,6 031,6 031,6 031,6 031,6 622,6 622,6 219,6 622,6 622,6 622,6 622,6 806,6 398,7 138,7 138,7 138,7 174,6 524
89,YONNE,9 463,9 622,9 622,9 522,9 322,9 170,9 120,8 656,8 156,8 417,7 952,6 900,7 351,7 463,7 014,6 317,6 317,6 117,6 417,6 417,6 354,6 355,5 096,3 915,3 999,3 932,3 650,3 413,3 413,3 626,3 108,3 376,3 376,4 138,4 083,3 799,3 799,3 700,3 626,3 313,3 313,3 313,3 313,3 313,3 313,3 313,3 255,3 255,3 255,3 894,3 894,4 012,3 744,3 821,3 895,4 005,4 005,3 864,4 005
90,TERRITOIRE DE BELFORT,5 791,5 491,5 181,5 124,5 107,4 412,4 106,3 489,3 489,3 489,4 377,4 377,4 027,3 610,3 758,3 249,3 249,3 249,3 319,3 319,2 979,2 053,2 053,2 053,2 125,2 125,2 098,2 098,2 098,2 098,1 548,1 548,1 510,1 510,1 510,1 510,4 488,3 091,3 086,3 086,3 086,3 086,3 086,3 086,3 086,3 086,3 086,3 086,3 086,3 086,3 086,3 086,3 086,3 086,3 086,3 086,3 086,3 086,3 086
91,ESSONNE,19 536,18 587,17 817,17 253,16 313,16 353,15 765,15 327,17 051,15 446,14 942,14 044,14 004,13 348,13 388,12 740,13 366,13 798,13 066,12 973,13 202,14 039,14 001,13 781,13 280,13 133,13 813,13 710,13 710,14 150,14 504,14 524,13 639,13 717,13 501,15 127,14 414,14 413,14 475,13 869,13 401,13 401,13 946,13 281,12 888,13 102,13 291,13 291,13 193,13 372,12 913,15 160,16 252,17 049,16 959,16 189,16 604,16 532,15 744
92,HAUTS-DE-SEINE,51 302,49 236,47 681,43 359,42 215,36 143,33 133,29 862,26 848,25 808,20 275,14 681,16 216,16 438,14 332,17 395,15 758,15 656,15 946,16 363,15 632,16 045,15 873,15 131,16 188,16 147,15 191,15 305,15 121,14 978,18 084,18 119,18 254,18 436,18 845,19 846,20 762,20 762,20 557,20 012,21 193,21 193,21 981,22 215,21 915,22 215,22 215,22 279,23 126,24 672,24 896,24 742,24 742,24 742,26 259,25 453,27 435,26 955,27 420
93,SEINE-SAINT-DENIS,41 393,38 379,35 065,33 391,31 025,29 371,30 101,25 835,24 563,20 940,18 953,18 176,16 568,16 401,15 481,16 488,16 226,16 632,16 214,15 819,17 403,16 250,15 402,16 135,15 220,15 520,14 295,14 490,14 441,14 657,15 118,17 027,18 347,19 191,18 487,18 494,21 168,20 978,20 742,20 820,21 070,20 841,21 450,20 473,20 073,20 073,18 983,20 957,23 239,23 854,23 867,23 854,23 854,23 854,23 301,23 321,23 321,23 092,23 092
94,VAL-DE-MARNE,40 096,36 625,36 615,38 745,35 521,33 089,30 782,30 763,29 477,25 785,24 731,21 524,18 865,18 378,19 221,18 123,18 292,18 302,18 122,19 037,18 747,19 170,18 729,18 412,16 796,17 214,17 630,18 382,18 470,18 470,18 370,18 728,17 876,18 780,19 296,19 499,22 839,22 957,23 336,21 764,21 560,21 560,21 560,21 560,21 764,21 764,23 282,23 282,22 558,22 583,23 374,23 399,25 005,25 576,25 930,26 009,26 009,26 035,23 709
95,VAL-D'OISE,20 381,19 867,18 270,17 166,16 138,16 415,15 700,16 061,16 263,16 804,16 883,14 005,13 712,12 677,12 377,12 057,12 590,12 701,12 826,12 520,12 963,12 713,12 773,12 907,12 876,12 766,12 229,12 319,10 352,12 441,12 316,11 657,12 169,11 673,11 438,13 419,12 939,12 939,12 936,12 305,11 747,11 964,12 161,12 987,12 987,12 987,12 557,12 082,12 082,12 427,12 962,16 640,16 312,16 532,16 532,15 949,16 511,16 427,16 423
,TOTAL,2 482 883,2 364 691,2 269 674,2 176 484,2 071 815,1 974 647,1 902 292,1 844 213,1 795 087,1 744 409,1 676 801,1 600 066,1 522 792,1 472 389,1 408 834,1 363 090,1 336 310,1 335 041,1 335 013,1 298 928,1 259 594,1 194 229,1 124 147,1 065 039,1 016 298,989 613,931 206,916 642,908 619,921 975,920 177,938 179,956 746,993 307,1 020 102,1 030 938,1 044 298,1 047 703,1 038 608,1 009 515,1 008 887,1 012 600,1 026 237,1 043 468,1 038 960,1 038 632,1 045 783,1 059 685,1 065 535,1 081 588,1 098 281,1 106 167,1 113 563,1 128 422,1 121 514,1 123 669,1 136 960,1 136 752,1 128 689
