dep_code,dep_nom,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
50,MANCHE,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,20,18,19,19,19,18,20,20,20,21,21,20,20,19,19,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
51,MARNE,,,,,,,,,,,,,,,,,,,,,,,,,,,12,9,8,8,8,8,8,8,9,9,9,9,10,10,10,10,10,10,10,10,10,9,9,9,9,9,8,9,8,8,8,8,8
52,HAUTE-MARNE,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,7,5,5,5,5,5,5,5,5,5,5,5,5
53,MAYENNE,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14,14,13,13,13,12,12,12,12,13,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,11,11
54,MEURTHE-ET-MOSELLE,,,,,,,,,,,,,,,,,,,,,,,,,,,25,22,23,23,24,25,25,25,24,24,22,21,21,21,20,20,21,20,21,20,20,21,21,21,21,20,20,21,21,20,22,22,21
55,MEUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5
56,MORBIHAN,,,,,,,,,,,,,,,,,,,,,,,,,,,31,32,33,31,32,32,31,34,31,30,29,29,27,28,29,27,29,30,30,29,28,28,28,28,27,27,27,27,26,26,27,27,27
57,MOSELLE,,,,,,,,,,,,,,,,,,,,,,,,,,,27,25,24,26,26,26,26,26,24,22,22,23,21,22,19,19,19,19,19,19,19,20,20,19,19,18,18,17,17,18,19,19,19
58,NIEVRE,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9,9,9,9,9,10,10,10,10,9,10,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10
59,NORD,,,,,,,,,,,,,,,,,,,,,,,,,,,51,50,50,50,52,53,53,49,48,47,47,47,47,46,45,44,43,44,42,43,43,44,45,45,46,46,46,46,46,47,47,48,46
60,OISE,,,,,,,,,,,,,,,,,,,,,,,,,,,17,18,19,18,18,18,18,18,18,19,21,19,16,16,15,15,15,15,15,15,14,15,15,16,16,17,17,17,17,17,17,17,17
61,ORNE,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,10,10,9,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,11,12,12,12
62,PAS-DE-CALAIS,,,,,,,,,,,,,,,,,,,,,,,,,,,29,27,27,29,31,29,31,32,32,29,28,27,26,25,25,23,24,23,22,22,22,22,21,23,22,22,22,22,23,22,23,23,23
63,PUY-DE-DOME,,,,,,,,,,,,,,,,,,,,,,,,,,,20,18,18,19,19,19,19,20,19,18,18,18,18,18,17,18,17,17,17,17,17,18,18,18,18,19,19,19,19,19,19,19,18
64,PYRENEES-ATLANTIQUES,,,,,,,,,,,,,,,,,,,,,,,,,,,32,30,30,30,30,29,30,30,30,30,26,28,28,29,28,28,28,29,29,28,26,26,26,27,27,27,26,27,27,27,27,27,29
65,HAUTES-PYRENEES,,,,,,,,,,,,,,,,,,,,,,,,,,,16,15,15,16,17,18,19,18,18,17,17,17,17,17,17,18,18,18,18,18,20,20,20,20,20,20,20,20,19,19,19,19,18
66,PYRENEES-ORIENTALES,,,,,,,,,,,,,,,,,,,,,,,,,,,29,27,26,26,26,25,24,24,23,22,21,23,21,22,26,25,26,25,25,22,24,22,20,20,20,20,20,20,20,20,22,22,22
67,BAS-RHIN,,,,,,,,,,,,,,,,,,,,,,,,,,,19,20,19,20,20,19,18,18,19,18,18,19,17,17,17,17,17,18,17,18,17,18,20,20,20,21,21,21,23,23,23,23,24
68,HAUT-RHIN,,,,,,,,,,,,,,,,,,,,,,,,,,,16,14,16,16,16,16,14,16,15,15,15,14,14,14,15,16,15,15,15,15,15,17,17,18,18,18,18,17,17,18,18,18,18
69,RHONE,,,,,,,,,,,,,,,,,,,,,,,,,,,47,47,47,47,50,52,52,55,55,54,54,54,52,52,52,50,52,54,53,53,54,51,52,52,53,53,52,51,51,50,50,51,51
